reagent_name,GWP_kgCO2_per_kg,source_note
Chitosan,41.8,Huang et al. 2025
PDChNF,36.65,Huang et al. 2025
Zirconium tetrachloride,5,Proxy based on Osterwalder et al.
2-Aminoterephthalic acid,1.98,Proxy based on PTA
Formic acid (88%),2.51, Petrochemical route
Ethanol,1.24,Fossil route
Acetic acid,1.2,Nicholson et al.
Sodium hydroxide,0.83,Rincon et al.
Epichlorohydrin,1.17,"Madej, ?. and Kiss, A.A., 2023"
Sulfuric acid,0.14,City of Winnipeg
Electricity (Canada),0.1197,Climate Transparency Report
